account_id,duns_number,company_name,industry,revenue,employee_count,founded_date,address,city,state,country
1,60-186-5592,Crooks-Cartwright,Retail,570839924.73,1875,11/8/1901,63836 Starling Street,Attard,,Malta
2,95-641-1552,Schuster and Sons,Technology,238062388.54,2284,1/22/1919,7263 Derek Drive,Nikulino,,Russia
3,71-012-7914,"Dooley, Auer and Collier",Healthcare,600128427.66,3769,1/16/1906,266 Warrior Lane,Guazacapán,,Guatemala
4,85-892-4449,Schowalter-Beatty,Healthcare,533203683.38,706,7/25/2000,04 Granby Trail,Moss,01,Norway
5,72-953-9441,Schmitt and Sons,Healthcare,952297256.29,46,9/21/1940,6 Saint Paul Hill,Shiyuetian,,China
6,07-897-8081,Friesen-Stracke,Retail,720380816.11,1538,7/30/1925,6 John Wall Plaza,San José,,Costa Rica
7,53-094-2508,Schroeder LLC,Healthcare,938065993.06,383,9/25/2014,4915 Hintze Terrace,Victoria,,Chile
8,00-846-7843,Schuppe-Quigley,Retail,898276557.94,2235,3/13/1971,1 Carberry Center,Tallahassee,FL,United States
9,25-105-0935,Kassulke Inc,Finance,368927896.44,1683,3/16/1961,6495 Starling Junction,Guaymango,,El Salvador
10,66-749-9237,Olson LLC,Finance,474568172.96,1210,7/16/1980,459 Bellgrove Way,Pingxiang,,China
11,28-598-7279,Bogisich and Sons,Retail,744272771.6,4493,7/29/1961,6658 Petterle Hill,Soca,,Uruguay
12,78-416-1140,Senger Inc,Finance,124006940.69,3941,10/18/1958,0606 Loftsgordon Court,Novoselitsa,,Ukraine
13,61-958-9624,"Miller, Goodwin and Gleichner",Healthcare,783228529.55,290,9/10/2018,6 Bellgrove Lane,Lenghu,,China
14,65-808-1106,Will LLC,Technology,613575472.79,856,11/26/1973,30902 Springs Park,Yuanlin,,China
15,00-944-8327,Bechtelar-Ratke,Healthcare,343402308.46,2288,4/15/1955,91514 Reinke Trail,Al Khafsah,,Syria
16,21-007-0807,Denesik-McKenzie,Technology,765376180.51,4189,9/30/1974,364 Loftsgordon Alley,Pacatuba,,Brazil
17,81-154-0122,Steuber-Leffler,Healthcare,433198812.28,4778,12/29/1983,6 Ludington Park,Masalovka,,Russia
18,63-706-3175,Homenick-Kovacek,Healthcare,502588041.05,1858,10/30/1996,5288 Bultman Avenue,Wangjiang,,China
19,88-043-3795,"Moore, Feeney and Friesen",Finance,564198758.0,398,8/1/1995,8772 Green Ridge Trail,Bāgh-e Maīdān,,Afghanistan
20,82-577-4880,Rolfson-Hayes,Technology,108703750.1,4288,5/6/2016,2 Red Cloud Circle,Thị Trấn Hát Lót,,Vietnam
21,13-255-2423,Hartmann-Stiedemann,Technology,587193680.04,418,3/29/1934,405 Sheridan Junction,Nýdek,,Czech Republic
22,83-176-0213,Ruecker and Sons,Finance,983577185.95,2240,8/30/1937,60 Bonner Avenue,Vlycháda,,Greece
23,77-589-0338,Will-Vandervort,Technology,865822841.22,2217,5/13/1935,8533 Miller Trail,Ngudu,,Tanzania
24,29-821-0651,Borer LLC,Healthcare,336846092.11,1135,7/9/1903,780 Sugar Hill,Ban Na,,Thailand
25,73-933-0504,"Romaguera, Schiller and Zemlak",Healthcare,764722472.7,3229,3/9/1942,399 Blackbird Lane,Piúma,,Brazil
26,51-922-0131,Marks Inc,Finance,208204601.36,1754,3/1/1912,710 Spohn Drive,Songnim,,North Korea
27,41-631-9164,"Beahan, Terry and Graham",Healthcare,840729677.69,4445,12/17/2011,481 Saint Paul Circle,Pokrovo-Prigorodnoye,,Russia
28,43-064-9536,"Fadel, Johnson and Hintz",Retail,14811508.67,2859,2/22/1970,7785 Iowa Avenue,Jingu,,China
29,07-544-9579,"Bartoletti, Keebler and Rogahn",Finance,824491401.29,2948,6/10/2004,8014 Rowland Lane,Gucheng,,China
30,23-441-8854,Dickinson and Sons,Retail,227316564.75,940,6/30/1957,9 Waubesa Avenue,Philadelphia,PA,United States
31,59-988-5033,"Jacobs, Jerde and Fisher",Healthcare,919740627.92,2667,2/23/1949,3 Havey Road,Ngelak,,Indonesia
32,57-240-5417,Jones Inc,Healthcare,509196892.72,1446,5/14/1950,024 Knutson Park,Haarlem,07,Netherlands
33,97-942-1062,"O'Keefe, Harris and Ullrich",Retail,707020153.54,4999,4/12/1930,3614 Maywood Court,‘Ajlūn,,Jordan
34,67-207-5548,Bednar Group,Finance,662411750.1,3283,8/20/1988,450 Di Loreto Lane,Austin,TX,United States
